id;avgtempo;chord_changes;chorus_count;composer;filename_sv;form;full_title;genre;harmony_template;instrument;key;label;lineup;mbzid;performer;recordbib;recordingdate;recordingyear;recordtitle;rhythmfeel;signature;solo_time;soloend;solopart;solostart;status;style;tempoclass;title;titleaddon;tonality_type
DavidMurray_BodyAndSoul-2_FINAL.sv;65.1;A1: ||Eb-7 Bb7 ||;1;Heyman, Sour, Eyton, Green;DavidMurray_BodyAndSoul-2_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Body and Soul-2;GREAT AMERICAN SONGBOOK;;ts;Db-maj;Black Saint Records;"David Murray (ts); John Hicks (p); Reggie Workman (b); Ed Blackwell (dr)";a8dc9b25-5c1d-4501-9bec-eca65b41d6a0;David Murray;BSR 0075 CD;25, 26 & 30.09 1983;1983;Morning Song;BALLAD;4/4;04:57-05:28;05:28;2;292.8249;FINAL;POSTBOP;SLOW;Body and Soul;;FUNCTIONAL
DavidMurray_ChelseaBridge_FINAL.sv;53.0;"A1: ||Eb7   |Db7   |Eb7 Db7 |Bb7   |Eb-7   |Ab7   |Db6   |Db6C7B7Bb7||
A2: ||Eb7   |Db7   |Eb7 Db7 |Bb7   |Eb-7   |Ab7   |Db6   |Db  B7||
B1: ||F#-7 B7 |Ej7 G7 |F#-7 F7 |B-7 E7 |Aj7 A-7D7|Gj7   |G-7   |Db7C7B7Bb7||
A3: ||Eb7   |Db7   |Eb7 Db7 |Bb7   |Eb-7   |Ab7   |Db6   |Db6   ||
I1: ";1;Billy Strayhorn;DavidMurray_ChelseaBridge_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Chelsea Bridge-1;GREAT AMERICAN SONGBOOK;;ts;Db-maj;Fresh Sound Records;"George Arvanitas (p); David Murray (ts)";ec975bc2-277f-45a2-ac23-00496645c9a7;David Murray;FSRCD-164;1990-05-19;1990;Tea For Two - George Arvantitas Presents the ballad artistry of David Murray;BALLAD;4/4;02:28-04:48;04:48;1;142.6318;FINAL;POSTBOP;SLOW;Chelsea Bridge;;FUNCTIONAL
DexterGordon_Cheesecake_FINAL.sv;220.9;"A1: ||C-69   |Dm7b5 G+7 |C-69   |C7   |F-69   |C+7   |F-69   |F-69   |Dm7b5   |G+7   |F-7   |Bb7   |Eb-7 Ab7 |Dm7b5 G+7 |C-69   |Dm7b5 G7 ||
A2: ||C-69   |Dm7b5 G+7 |C-69   |C7   |F-69   |C+7   |F-69   |F-69   |Dm7b5   |Dm7b5   |F-7   |Bb7   |Eb-7 Ab7 |Dm7b5 G+7 |C-69   |C-69   ||
B1: ||G-7   |C7   |F-7   |Bb7   |Eb-7   |Ab7   |Dm7b5   |G+7   ||
A3: ||C-69   |Dm7b5 G+7 |C-7   |C7   |F-69   |C+7   |F-69   |F-69   |Dm7b5   |G+7   |F-7   |Bb7   |Eb-7 Ab7 |Dm7b5 G+7 |C-69   |C-69   ||";2;Dexter Gordon;DexterGordon_Cheesecake_FINAL.sv;(A1,16), (A2,16), (B1,8), (C1,16);Cheese Cake-1;ORIGINAL;;ts;C-min;Blue Note;"Sonny Clark (p); Butch Warren (b); Billy Higgins (dr); Dexter Gordon (ts)";00db281a-fcbd-4eb5-ba96-d87d6025f114;Dexter Gordon;724349879423;1962-08-27;1962;Go!;SWING;4/4;01:11-03:15;03:15;1;69.8698;FINAL;HARDBOP;UP;Cheese Cake;;FUNCTIONAL
DexterGordon_Dextivity_FINAL.sv;93.2;"A1: ||C6   |D7911#   |D-7 G79b |C6Eb7D7Db7||
A2: ||C6   |D7911#   |D-7 G79b |C6   ||
B1: ||G-7 C79b |Fj7 B7 |E-7 A-7 |D-7 G7Db7||
A3: ||C6   |D7911#   |D-7 G79b |C6   ||";2;Dexter Gordon;DexterGordon_Dextivity_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Dextivity-1;ORIGINAL;;ts;C-maj;History/Trumpets of Jericho Ltd.;"Fats Navarro (tp); Dexter Gordon (ts); Tadd Dameron (p); Nelson Boyd (b); Art Mardigan (dr)";fc54e3e6-c898-466b-99c6-e88274cfd721;Dexter Gordon;20.1977-HI;1947-12-22;1947;Gone With The Wind CD1;SWING;4/4;00:50-02:13;02:13;1;46.4568;FINAL;BEBOP;MEDIUM SLOW;Dextivity;;FUNCTIONAL
DexterGordon_Montmartre_FINAL.sv;204.2;"A1: ||Bb-   |C-7 F7 |Bb-   |Cb7   |Bb-   |C-7   |C-7   |Cb7   ||
A2: ||Bb-   |C-7 F7 |Bb-   |Cb7   |Bb-   |F7   |C-7 F7 |Bb-   ||
B1: ||F-7   |Bb7   |E-7 A7 |Eb7 Ab7 |F-7   |Bb7   |C-7   |F7   ||
A3: ||Bb-   |C-7 F7 |Bb-   |Cb7   |Bb-   |C-7   |C-7 F7 |Bb-   ||";4;Dexter Gordon;DexterGordon_Montmartre_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Montmartre-1;ORIGINAL;;ts;Bb-min;Prestige;"James Moody (ts); Barry Harris (p); Buster Williams (b); Albert 'Tootie' Heath (dr); Dexter Gordon (ts)";66d0d328-82c3-463a-b6a8-5f796b5b1aac;Dexter Gordon;OJCCD-299-2;02.+04.04.1969;1969;The Tower Of Power;SWING;4/4;00:56-03:31;03:31;1;53.8945;FINAL;HARDBOP;UP;Montmartre;;FUNCTIONAL
DexterGordon_SocietyRed_FINAL.sv;113.7;A1: ||F7   |Bb7   |F7   |F7   |Bb7   |Bb7   |F7   |D7   |G-7   |C7   |F7   |F7   ||;9;Dexter Gordon;DexterGordon_SocietyRed_FINAL.sv;(A1,12);Society Red-1;ORIGINAL;Blues;ts;Bb-maj;Blue Note;"George Tucker (b); Al Harewood (dr); Horace Parlan (p); Freddie Hubbard (tp); Dexter Gordon (ts)";c009f6b1-e7ea-4cd9-83c6-9dd6ea662af6;Dexter Gordon;CDP 7 91139 2;1961-05-06;1961;The Best Of Dexter Gordon;SWING;4/4;03:57-08:03;08:03;1;235.5071;FINAL;HARDBOP;MEDIUM;Society Red;;BLUES
DexterGordon_StanleyTheSteamer_FINAL.sv;181.2;A1: ||Bb7   |Eb7   |Bb7   |Bb7   |Eb7   |Eb7   |Bb7   |D-7 G7 |C-7   |F7   |Bb7   |F7   ||;12;Dexter Gordon;DexterGordon_StanleyTheSteamer_FINAL.sv;(A1,12);Stanley the Steamer-1;ORIGINAL;Blues;ts;Bb-maj;Prestige;"Barry Harris (p); Buster Williams (b); Albert 'Tootie' Heath (dr); Dexter Gordon (ts)";b9d15dba-98e7-444f-b8ab-16bf52f2e7c3;Dexter Gordon;OJCCD-299-2;02.+04.04.1969;1969;The Tower Of Power;SWING;4/4;00:34-03:44;03:44;1;29.5961;FINAL;HARDBOP;UP;Stanley the Steamer;;BLUES
DexterGordon_TheRainbowPeople_FINAL.sv;120.0;"A1: ||Eb F-7 |G-7 F-7 |G-7 F-7 |F#-7 B7 |F-7   |Bb7   |Ebj7 C7 |F-7 Bb7 ||
A2: ||Ebj7 F-7 |G-7 F-7 |G-7 F-7 |F#-7 B7 |F-7   |Bb7   |Eb Db7 |B-7 E7 ||
B1: ||Bb-7   |Eb7   |Am7b5   |Ab7   |G7   |C7   |F7   |Bb7   ||
A3: ||Ebj7 F-7 |G-7 F-7 |G-7 F-7 |F#-7 B7 |F-7   |Bb7   |Eb C7 |F-7 Bb7 ||";3;Dexter Gordon;DexterGordon_TheRainbowPeople_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);The Rainbow People-1;ORIGINAL;;ts;Eb-maj;Prestige;"Barry Harris (p); Buster Williams (b); Albert 'Tootie' Heath (dr); Dexter Gordon (ts)";a28c1fd5-e80f-4006-b20f-52c0ec4c18d9;Dexter Gordon;OJCCD-299-2;02.+04.04.1969;1969;The Tower Of Power;SWING;4/4;01:09-04:27;04:27;1;66.1429;FINAL;HARDBOP;MEDIUM;The Rainbow People;;FUNCTIONAL
DickieWells_AfterTheatreJump_FINAL.sv;173.5;"A1: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
A2: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb7 Ab7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |Ab7   ||
A3: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
I1: ||NC   ||";1;Wells;DickieWells_AfterTheatreJump_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);After Theatre Jump-1;ORIGINAL;I Got Rhythm;tb;Db-maj;Membran Music Ltd..;"Lester Young (ts); Buck Clayton (tp); Dickie Wells (tb); Count Basie (p); Freddie Green (g); Rodney Richardson (b); Jo Jones (dr)";4dc02b92-34af-4185-ad08-b07daefe6db8;Dickie Wells;222500444;1944-03-22;1944;Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 2;SWING;4/4;03:42-04:26;04:26;1;217.1522;FINAL;SWING;MEDIUM UP;After Theatre Jump;;FUNCTIONAL
DickieWells_DestinationK.C._FINAL.sv;249.1;"A1: ||C   |C   |G7   |C   |C   |C   |G7   |C   ||
A2: ||C   |C   |G7   |C   |C   |C   |G7   |C   ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Ab7   |G7   ||
A3: ||C   |C   |G7   |C   |C   |C   |G7   |C   ||
I1: ||NC   ||";1;Clayton;DickieWells_DestinationK.C._FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Destination K.C.-1;ORIGINAL;I Got Rhythm;tb;C-maj;Membran Music Ltd..;"Lester Young (ts); Buck Clayton (tp); Dickie Wells (tb); Count Basie (p); Freddie Green (g); Rodney Richardson (b); Jo Jones (dr)";3725f70c-2ac2-43a3-8448-b9672943deaf;Dickie Wells;222500444;1944-03-22;1944;Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 2;SWING;4/4;00:37-01:09;01:09;1;33.2166;FINAL;SWING;UP;Destination K.C.;;FUNCTIONAL
DickieWells_Dickie'sDream_FINAL.sv;229.4;"A1: ||C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 ||
A2: ||C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |D- G7 ||
A3: ||C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 ||
I1: ||NC   ||";1;Basie-Young;DickieWells_Dickie'sDream_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Dickie's Dream-1;ORIGINAL;;tb;C-min;Membran Music Ltd..;"Lester Young (ts); Buck Clayton (tp); Dickie Wells (tb); Count Basie (p); Freddie Green (g); Walter Page (b); Jo Jones (dr)";67e7059d-7127-432b-be9b-a51f171a3828;Dickie Wells;222500444;1939-09-05;1939;Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 1;SWING;4/4;01:45-02:18;02:18;1;100.4861;FINAL;SWING;UP;Dickie's Dream;;FUNCTIONAL
DickieWells_IGotRhythm_FINAL.sv;243.4;"A1: ||Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 Bb7 |Eb6 Eo7 |Bb6 F7 |Bb6   ||
A2: ||Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 Bb7 |Eb6 Eo7 |Bb6 F7 |Bb6   ||
B1: ||D7   |D7   |G7   |G7   |C7   |C7   |F7   |F7   ||
A3: ||Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 Bb7 |Eb6 Eo7 |Bb6 F7 |Bb6   ||";2;G. & I. Gershwin;DickieWells_IGotRhythm_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);I Got Rhythm-1;GREAT AMERICAN SONGBOOK;I Got Rhythm;tb;Bb-maj;Quadromania;"Bill Coleman (tp); Dickie Wells (tb); Lester Young (ts); Jow Bushkin (p); John Simmons (b); Jo Jones (dr)";78c43c1b-6394-40af-ac4f-bdffe63c274b;Dickie Wells;222500444;1944-03-14;1944;Lester's Be-Bop Boogie;SWING;4/4;;NA;1;93.4444;FINAL;SWING;UP;I Got Rhythm;;FUNCTIONAL
DickieWells_Jo=Jo_FINAL.sv;183.4;A1: ||Bb7   |Bb7   |Bb7   |Bb7   |Eb7   |Eb7   |Bb7   |Bb7   |C-7   |F7   |Bb7   |Bb7   ||;2;Joe Bushkin;DickieWells_Jo=Jo_FINAL.sv;(A1,12);Jo-Jo-1;ORIGINAL;Blues;tb;Bb-maj;Quadromania;"Bill Coleman (tp); Dickie Wells (tb); Lester Young (ts); Jow Bushkin (p); John Simmons (b); Jo Jones (dr)";604a76af-a2e7-4c5b-94f8-a290afd8549b;Dickie Wells;222500444;1944-03-14;1944;Lester's Be-Bop Boogie;SWING;4/4;;NA;1;32.8924;FINAL;SWING;UP;Jo-Jo;;BLUES
DickieWells_SixCatsAndAPrince_FINAL.sv;217.6;"A1: ||Bbj7   |Bbj7   |Bo   |Bo   |C-7   |F7   |Bbj7   |F7   ||
A2: ||Bbj7   |Bbj7   |Bo   |Bo   |C-7   |F7   |Bbj7   |Bbj7   ||
B1: ||Bb7   |Bb7   |Eb7   |Eb7   |C7   |C7   |F7   |F7   ||
A3: ||Bbj7   |Bbj7   |Bo   |Bo   |C-7   |F7   |Bbj7   |Bbj7   ||
I1: ||Bbj7   ||";1;Clayton;DickieWells_SixCatsAndAPrince_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Six Cats and a Prince-1;ORIGINAL;;tb;Bb-maj;Membran Music Ltd..;"Lester Young (ts); Buck Clayton (tp); Dickie Wells (tb); Count Basie (p); Freddie Green (g); Rodney Richardson (b); Jo Jones (dr)";68b19d4d-1f81-4ff8-86f3-139fc10dc26a;Dickie Wells;222500444;1944-03-22;1944;Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 2;SWING;4/4;02:56-03:32;03:32;1;171.4473;FINAL;SWING;UP;Six Cats and a Prince;;FUNCTIONAL
