id;avgtempo;chord_changes;chorus_count;composer;filename_sv;form;full_title;genre;harmony_template;instrument;key;label;lineup;mbzid;performer;recordbib;recordingdate;recordingyear;recordtitle;rhythmfeel;signature;solo_time;soloend;solopart;solostart;status;style;tempoclass;title;titleaddon;tonality_type
ArtPepper_Anthropology_FINAL.sv;218.8;"A1: ||Bb6 G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |D-7 G7 |C-7 F7 ||
A2: ||Bb6 G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   ||
B1: ||D7   |D7   |G7   |G7   |C7   |C7   |F7   |F7   ||
A3: ||Bb G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   ||";4;Parker, Gillespie;ArtPepper_Anthropology_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Anthropology-1;ORIGINAL;I Got Rhythm;cl;Bb-maj;Galaxy Records;"Art Pepper (as, cl); Charlie Haden (b); Billy Higgins (dr)";6391fad8-724d-416b-99aa-4dac69b7b693;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 4;SWING;4/4;00:51-03:21;03:21;1;49.0728;FINAL;COOL;UP;Anthropology;;FUNCTIONAL
ArtPepper_BluesForBlanche_FINAL.sv;198.9;A1: ||Eb7   |Ab7   |Eb7   |Eb7   |Ab7   |Ab7   |Eb7   |Eb7   |F-7   |Bb7   |Eb7   |Bb7   ||;11;Art Pepper;ArtPepper_BluesForBlanche_FINAL.sv;(A1,12);Blues for Blanche-1;ORIGINAL;Blues;as;Eb-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";6f93b7a9-8d5c-46e9-aada-2533f3db871c;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 3;SWING;4/4;00:43-03:23;03:23;1;40.2693;FINAL;COOL;UP;Blues for Blanche;;BLUES
ArtPepper_Desafinado_FINAL.sv;140.5;"A1: ||Fj7   |Fj7   |G7alt   |G7alt   |G-7   |C7   |Am7b5   |D79b   |G-7   |A79b   |D7   |D79b   |G79b   |G79b   |Gbj7   |Gbj7   ||
A2: ||Fj7   |Fj7   |G7alt   |G7alt   |G-7   |C7   |Am7b5   |D79b   |G-7   |Bb-   |A-7   |Bm7b5 E79# ||
B1: ||Aj7   |Bbo7   |B-7   |E7   |Aj7   |F#-7   |B-7   |E7   ||
C1: ||Cj7   |C#o7   |D-7   |G7   |G-7   |Am7b5 D79b |G-7   |C7alt   ||";2;Antonio Carlos Jobim;ArtPepper_Desafinado_FINAL.sv;(A1,1612), (B1,8), (C1,8);Desafinado-1;ORIGINAL;;as;F-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";5d42eb36-e1cb-4808-b36f-ac94dddc3fcb;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 4;LATIN;4/4;02:02-03:53;03:53;1;120.1504;FINAL;COOL;MEDIUM UP;Desafinado;;FUNCTIONAL
ArtPepper_InAMellowTone_FINAL.sv;167.6;"A1: ||F7   |Bb7   |Eb6   |Eb6   |Bb-7   |Eb7   |Abj7   |Abj7   |Ab6   |Db7   |Eb6   |C7   |F7   |F7   |Bb7   |C7   ||
B1: ||F7   |Bb7   |Eb6   |Eb6   |Bb-7   |Eb7   |Abj7   |Abj7   |Ab7   |Ao7   |Eb6   |C7   |F7   |Bb7   |Eb6   |Eb6   ||";4;Duke Ellington;ArtPepper_InAMellowTone_FINAL.sv;(A1,16), (B1,16);In a Mellow Tone-1;GREAT AMERICAN SONGBOOK;;cl;Eb-maj;Galaxy Records;"Art Pepper (as, cl); Charlie Haden (b); Billy Higgins (dr)";32114f13-935c-48a7-a42d-db97663e4658;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 4;SWING;4/4;01:00-04:03;04:03;1;56.7654;FINAL;COOL;MEDIUM UP;In a Mellow Tone;;FUNCTIONAL
ArtPepper_Stardust-1_FINAL.sv;60.7;"A1: ||Ab6   |Ab6   |Ab-6   |Ab-6 Db7 |Eb F-7 |G-7 C7 |F-7  Eo7|F-7   |Bb7 Bbo |F-7 Bb7 |Ebj7   |G-7 C-7 |F79   |C-7 F7 |Bb7 Bbsus7 |Bbo7 Bb7Eb+7||
B1: ||Ab6   |Ab6   |Ab-6   |Ab-6 Db7 |Eb   |G-7 C7 |F-7  Eo|F-7   |Ab-7   |Db7913   |Ebj7 C-7 |G-7 C7 |F-7   |Bb7   |Eb6   |Bb-7 Eb7 ||";2;Parish, Carmichael;ArtPepper_Stardust-1_FINAL.sv;(A1,16), (B1,16);Stardust-1;GREAT AMERICAN SONGBOOK;;as;Eb-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";9b12b012-983c-450b-85e9-9315bebb6dfa;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 3;BALLAD;4/4;00:15-04:32;04:32;1;10.4045;FINAL;COOL;SLOW;Stardust;;FUNCTIONAL
ArtPepper_Stardust-2_FINAL.sv;60.2;"B1: ||Ab6   |Ab6   |Ab-6   |Db7   |Ebj7   |G-7 C7 |F-7   |F-7   |Ab-7   |Db7   |Eb C-7 |G-7 C7 |F-7   |Bb7   |Eb7   |Ab7   ||
C1: ||Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   ||";1;Parish, Carmichael;ArtPepper_Stardust-2_FINAL.sv;(A1,16), (B1,16);Stardust-2;GREAT AMERICAN SONGBOOK;;as;Eb-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";9b12b012-983c-450b-85e9-9315bebb6dfa;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 3;BALLAD;4/4;05:31-10:21;10:21;2;328.1704;FINAL;COOL;SLOW;Stardust;;FUNCTIONAL
BennyCarter_IGotItBad_FINAL.sv;68.2;"A1: ||Dbj7   |F-7 Bb7 |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6 Bb-7 |Eb-7 Ab7 ||
A2: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6   |G7911#   ||
B1: ||Gbj7   |F#j7   |Gb-6   |B7   |Dbj7 B7 |F-7 Bb7 |Eb-7   |Ab7   ||
A3: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6   |Eb-7 Ab7 ||
B2: ||Gbj7   |Gbj7   |Gb-6   |B7   |Dbj7 B7 |F-7 Bb7 |Eb-7   |Ab7   ||
A4: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Eb-7 Ab7 |Dbj7   |Dbj7   |Dbj7   ||";1;Ellington/Webster;BennyCarter_IGotItBad_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);I Got It Bad-1;GREAT AMERICAN SONGBOOK;;as;Db-maj;Membran Music Ltd.;"Benny Carter (ts); Oscar Peterson (p); Barney Kessel (g); Ray Brown (b); Buddy Rich (dr)";6f69fba1-6832-4e82-8257-9d5172e6f0e4;Benny Carter;222276-354;1952-09-18;1952;Battle of Saxes Volume 2;SWING;4/4;00:00-02:52;02:52;1;0.0;FINAL;SWING;SLOW;I Got It Bad;;FUNCTIONAL
BennyCarter_It'sAWonderfulWorld-1_FINAL.sv;124.2;"A1: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||
A2: ||Cj7   |E-7 A7 |D-7   |G7   ||
B1: ||C7   |C7   |F7   |Bb7   ||
A3: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||";3;Oscar Peterson;BennyCarter_It'sAWonderfulWorld-1_FINAL.sv;(A1,4), (A2,4), (B1,4), (A3,4);It's a Wonderful World-1;ORIGINAL;;as;C-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";c1a88604-d063-476d-bdd5-d2e59fce0b82;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;00:39-02:14;02:14;1;36.5569;FINAL;SWING;MEDIUM;It's a Wonderful World;;FUNCTIONAL
BennyCarter_It'sAWonderfulWorld-2_FINAL.sv;127.2;"A1: ||Cj7   |E-7 A7 |D- G7 |Cj7 G7 ||
A2: ||Cj7   |E-7 A7 |D-7   |G7   ||
B1: ||C7   |C7   |F7   |Bb7   ||
A3: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||";2;Oscar Peterson;BennyCarter_It'sAWonderfulWorld-2_FINAL.sv;(A1,4), (A2,4), (B1,4), (A3,4);It's a Wonderful World-2;ORIGINAL;;as;C-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";c1a88604-d063-476d-bdd5-d2e59fce0b82;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;03:44-04:46;04:46;2;221.3684;FINAL;SWING;MEDIUM;It's a Wonderful World;;FUNCTIONAL
BennyCarter_JustFriends_FINAL.sv;204.9;"A1: ||Bbj7   |Bbj7   |Bb-7   |Eb7   |Fj7   |Fj7   |Ab-7   |Db7   |G-7   |C7   |A-7   |D-7   |G7   |G7   |G-7   |C7 B7 ||
B1: ||Bbj7   |Bbj7   |Bb-7   |Eb7   |Fj7   |Fj7   |Ab-7   |Db7   |G-7   |C7   |Em7b5 A7 |D-7   |G7   |G-7 C7 |F6   |C-7 F7 ||";3;Klenner/Lewis;BennyCarter_JustFriends_FINAL.sv;(A1,16), (B1,16);Just Friends-1;GREAT AMERICAN SONGBOOK;;as;Bb-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";0d7ab9bd-a3d0-4d78-8f8a-5f78dcaecfa9;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;02:03-03:57;03:57;1;116.9287;FINAL;SWING;UP;Just Friends;;FUNCTIONAL
BennyCarter_LongAgoAndFarAway-1_FINAL.sv;185.0;"A1: ||F6 D-7 |G-7 C7 |Fj7   |G-7 C7 |F6   |G-7 C7 |A-7 D7 |G-7 C7 ||
B1: ||Ab6   |Bb-7 Eb7 |Abj7   |G7   |Cj7   |A-7  D7|G-7   |C7   ||
A2: ||F6 D-7 |G-7 C7 |Fj7   |G-7 C7 |F6   |G-7 C7 |A-7 D7 |G-7 C7 ||
C1: ||C-7   |F7   |Bbj7   |Eb7   |F6 D-7 |G-7 C7 |F6   |G-7 C7 |C7   ||";1;Kern/Gershwin;BennyCarter_LongAgoAndFarAway-1_FINAL.sv;(A1,8), (B1,8), (A2,8), (C1,8);Long Ago and Far Away-1;GREAT AMERICAN SONGBOOK;;as;F-maj;Membran Music Ltd.;"Benny Carter (as); Oscar Peterson (p); Barney Kessel (g); Ray Brown (b); Buddy Rich (dr)";fe2804a8-b1fa-4a1a-bd51-96dad7b09b12;Benny Carter;222276-354;1952-09-18;1952;Battle of Saxes Volume 2;SWING;4/4;00:50-01:34;01:34;1;44.838;FINAL;SWING;UP;Long Ago and Far Away;;FUNCTIONAL
BennyCarter_LongAgoAndFarAway-2_FINAL.sv;185.8;"A1: ||F6 D-7 |G-7 C7 |Fj7 D-7 |G-7 C7 |F6   |G-7 C7 |F6 D7 |G-7 C7 ||
B1: ||Ab6 F-7 |Bb-7 Eb7 |Abj7   |G7   |Cj7   |A-7   |G-7   |C7   ||
A2: ||F6 D-7 |G-7 C7 |Fj7 D-7 |G-7 C7 |F6 D-7 |G-7 C7 |F6 D7 |G-7 C7 ||
C1: ||C-7   |F7   |Bbj7   |Bb-6 Eb7 |F6/A Abo7 |G-7 C7 |F6   |G-7 C7 |F6/A Abo7 |G-7 C7 |F6   |F6   |F6   |F6   ||";1;Kern/Gershwin;BennyCarter_LongAgoAndFarAway-2_FINAL.sv;(A1,8), (B1,8), (A2,8), (C1,8);Long Ago and Far Away-2;GREAT AMERICAN SONGBOOK;;as;F-maj;Membran Music Ltd.;"Benny Carter (as); Oscar Peterson (p); Barney Kessel (g); Ray Brown (b); Buddy Rich (dr)";fe2804a8-b1fa-4a1a-bd51-96dad7b09b12;Benny Carter;222276-354;1952-09-18;1952;Battle of Saxes Volume 2;SWING;4/4;02:13-03:02;03:02;2;129.6606;FINAL;SWING;UP;Long Ago and Far Away;;FUNCTIONAL
BennyCarter_SweetLorraine_FINAL.sv;91.5;"A1: ||Gj7F7E7 |A-7 D7Ebo|E-7 D-7G7|C7 B7 |E7 A7 |A-7 D7 |Gj7F7E7 |A7 D7 ||
A2: ||Gj7F7E7 |A-7 D7Ebo|E-7 D-7G7|C7 B7 |E7 A7 |A-7 D7 |G6 C7Dbo|G6/D G7Db7||
B1: ||Cj7 Bm7b5E7|A-7Ab7G-7C7|F7 E7 |A-7Ab7G-7C7|F7 E7 |Eb7911# D7 |F7 E7 |Eb7911# D7 ||
A3: ||Gj7F7E7 |A-7 D7Ebo|E-7 D-7G7|C7 B7 |E7 A7 |A-7 D7 |G6F7E7 |A7 D7 ||";1;Mitchel Parish / Cliff Burwell;BennyCarter_SweetLorraine_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Sweet Lorraine-1;GREAT AMERICAN SONGBOOK;;as;G-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";05670fa0-4311-405c-b6cb-a78c80c65318;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;01:34-03:00;03:00;1;87.1967;FINAL;SWING;MEDIUM SLOW;Sweet Lorraine;;FUNCTIONAL
BennyGoodman_Avalon_FINAL.sv;241.0;"A1: ||Bb7   |Bb7   |Bb7   |Bb7   |Eb   |Eb   |Eb   |Eb   |Bb7   |Bb7   |Bb7   |Bb7   |Eb   |Eb   |Eb   |Eb   ||
B1: ||C7   |C7   |C7   |C7   |F-7   |F-7   |Ab-7   |Ab-7   |Eb   |Eb   |C7   |C7   |F-7   |Bb7   |Eb   |Eb   ||";1;Jolson/Rose;BennyGoodman_Avalon_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Avalon-1;GREAT AMERICAN SONGBOOK;;cl;Eb-maj;History/This is Music;"Benny Goodman (cl); Teddy Wilson (p); Gene Krupa (dr); Lionel Hampton (vib)";7e8d5670-50a7-42f9-a895-63324f4fc8be;Benny Goodman;20.1975-HI;1937-02-03;1937;From Swing to Bebop;SWING;4/4;01:07-01:40;01:40;1;62.6268;FINAL;SWING;UP;Avalon;;FUNCTIONAL
BennyGoodman_HandfulOfKeys_FINAL.sv;303.1;"A1: ||Eb F-7 |Eb6 Gbo |F- F-7 |F-6 Gbo |F- F-7 |F-6 Bb7 |Eb C-7 |F-7 Bb7 ||
A2: ||Eb F-7 |Eb6 Gbo |F- F-7 |F-6 Gbo |F- F-7 |F-6 Bb7 |Eb Bbm7b5 |Eb D7 ||
I1: ";1;;BennyGoodman_HandfulOfKeys_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Handful of Keys-1;GREAT AMERICAN SONGBOOK;;cl;Eb-maj;;"Teddy Wilson (p); Lionel Hampton (vib); Gene Krupa (dr); Harry Goodman (b); Benny Goodman (cl)";c6db9985-bc89-42ca-8f23-3504b9425b7c;Benny Goodman;;1937;1937;;SWING;4/4;01:53-02:06;02:06;1;108.1775;FINAL;SWING;UP;Handful of Keys;;FUNCTIONAL
BennyGoodman_Nobody'sSweetheart_FINAL.sv;311.3;"A1: ||Ab   |Ab   |F7   |F7   |F-7   |F-7   |Bb7   |Bb7   |Eb   |Eb   |C7   |C7   |Ab   |Ab   |Eb7   |Eb7   ||
B1: ||Ab   |Ab   |F7   |F7   |Bb7   |Bb7   |Bb7   |Bb7   |F-   |F-   |Eo   |Eo   |Ab   |Ab   |Bb-   |Eb7   |Ab   |Ab C7 |F7   |F7   |Bb7   |Eb7   |Ab   |Ab   |Ab   |Ab   ||";1;Kahn/Erdman/Meyers/Schoebell;BennyGoodman_Nobody'sSweetheart_FINAL.sv;(A1,24), (B1,16), (C1,24);Nobody's Sweetheart-1;GREAT AMERICAN SONGBOOK;;cl;Ab-maj;History/This is Music;"Benny Goodman (cl); Teddy Wilson (p); Gene Krupa (dr)";8f75a1a2-7f2b-4ef7-bade-9ed861fa3bef;Benny Goodman;20.1975-HI;1936-04-27;1936;From Swing to Bebop;SWING;4/4;01:04-01:34;01:34;1;59.6847;FINAL;SWING;UP;Nobody's Sweetheart;;FUNCTIONAL
BennyGoodman_Runnin'Wild_FINAL.sv;285.0;"A1: ||Bb   |Bb   |Bb7   |Bb7   |Eb   |Eb   |Bb   |Bb   |F7   |C-6 D7 |G-   |Bb-6   |F   |C7   |F7   |F7   ||
B1: ||Bb   |Bb   |Bb7   |Bb7   |Eb   |Eb   |D7   |D7 G7 |C7   |F7   |Bb   |Bb   |F7   |F7   |Bb   |Bb   ||
I1: ||NC   ||";1;Grey/Wood/Gibs;BennyGoodman_Runnin'Wild_FINAL.sv;(A1,8), (A2,8), (B1,8), (B2,8);Runnin' Wild-1;GREAT AMERICAN SONGBOOK;;cl;Bb-maj;History/This is Music;"Benny Goodman (cl); Teddy Wilson (p); Gene Krupa (dr); Lionel Hampton (vib)";1be0f453-dc33-48a2-8dfc-af1954c14930;Benny Goodman;20.1975-HI;1937-02-03;1937;From Swing to Bebop;SWING;4/4;01:11-01:39;01:39;1;68.1695;FINAL;SWING;UP;Runnin' Wild;;FUNCTIONAL
BennyGoodman_TigerRag-1_FINAL.sv;268.0;"A1: ||Ab   |Ab   |Ab   |Ab   |Ab   |Ab   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Ab   |Ab   ||
B1: ||Ab   |Ab   |Ab   |Ab   |Ab7   |Ab7   |Db   |Db   |Db   |Db-   |Ab   |F7   |Bb7   |Eb7   |Ab   |Ab   |Ab   |Ab   ||";1;La Rocca, Shields;BennyGoodman_TigerRag-1_FINAL.sv;(A1,16), (B1,16);Tiger Rag-1;GREAT AMERICAN SONGBOOK;;cl;Ab-maj;History - (Trumpets of Jericho)s;"Teddy Wilson (p); Gene Krupa (dr); Benny Goodman (cl)";550eb0cf-ced6-4e63-b2b8-cff9650be6f3;Benny Goodman;20.1975-HI;1936-12-02;1936;Combos (1935-41);SWING;4/4;00:06-00:56;00:56;1;54.5209;FINAL;SWING;UP;Tiger Rag;;FUNCTIONAL
BennyGoodman_TigerRag-2_FINAL.sv;271.2;"A1: ||Ab   |Ab   |Ab   |Ab   |Ab   |Ab   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Eb7   |Ab   |Ab   ||
B1: ||Ab   |Ab   |Ab   |Ab   |Ab7   |Ab7   |Db   |Db   |Db   |Db-   |Ab   |F7   |Bb7   |Eb7   |Ab   |Ab   |Db   |Db-   |Ab   |F7   |Bb7   |Eb7   |Ab   |Ab   |Ab   ||";1;La Rocca, Shields;BennyGoodman_TigerRag-2_FINAL.sv;(A1,16), (B1,16);Tiger Rag-2;GREAT AMERICAN SONGBOOK;;cl;Ab-maj;History - (Trumpets of Jericho)s;"Teddy Wilson (p); Gene Krupa (dr); Benny Goodman (cl)";550eb0cf-ced6-4e63-b2b8-cff9650be6f3;Benny Goodman;20.1975-HI;1936-12-02;1936;Combos (1935-41);SWING;4/4;00:06-00:56;00:56;2;137.9865;FINAL;SWING;UP;Tiger Rag;;FUNCTIONAL
BennyGoodman_Whispering_FINAL.sv;198.6;"A1: ||Eb   |Eb   |D7   |D7   |Eb   |Eb   |C+7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb   |Eb   |Bb7   |Bb+7   ||
A2: ||Eb   |Eb   |D7   |D7   |Eb   |Eb   |C+7   |C7   |F7   |F7   |Bb7   |Bb7   |F-7   |Bb7   |Eb   |F-7 Bb7 ||
I1: ||Eb   |Eb   ||";1;Schonberger/Coburn/Rose;BennyGoodman_Whispering_FINAL.sv;(A1,16), (B1,16);Whispering-1;GREAT AMERICAN SONGBOOK;;cl;Eb-maj;History/This is Music;"Benny Goodman (cl); Teddy Wilson (p); Gene Krupa (dr); Lionel Hampton (vib)";e2eaf13c-0839-450e-9829-43aad387eceb;Benny Goodman;20.1975-HI;1936-12-02;1936;From Swing to Bebop;SWING;4/4;00:43-01:24;01:24;1;42.4473;FINAL;SWING;UP;Whispering;;FUNCTIONAL
BenWebster_ByeByeBlackbird_FINAL.sv;140.8;"A1: ||Gj7   |Gj7   |Gj7   |Gj7   |Gj7   |Bbo   |A-7   |D7   |A-7   |D7   |A-7   |D7   |A-7   |D7   |Gj7   |Gj7   ||
B1: ||G7   |G7   |Bm7b5   |E7   |A-7   |A-7   |C-7 F7 |A-7 D7 |Gj7   |Gj7   |Bm7b5   |E7   |A-7   |D7   |Gj7   |Gj7   ||";3;Dixon-Henderson;BenWebster_ByeByeBlackbird_FINAL.sv;(A1,16), (B1,16);Bye Bye Blackbird-1;GREAT AMERICAN SONGBOOK;;ts;G-maj;Giants of Jazz;"Ben Webster (ts); Oscar Peterson (p); Ray Brown (b); Ed Thigpen (dr)";d256784b-5843-4219-b010-a1ea9c62f8f7;Ben Webster;CD 53167 AAD;1959-11-08;1959;"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962";SWING;4/4;02:58-05:41;05:41;1;169.1441;FINAL;SWING;MEDIUM UP;Bye Bye Blackbird;;FUNCTIONAL
BenWebster_DidYouCallHerToday_FINAL.sv;118.4;A1: ||Bb7   |Eb7   |Ab6   |Ab6   |Eb-7   |Ab7   |Db6   |Db6   |Db7   |Do   |Ab6   |F7   |Bb7   |Bb7   |Bb-7   |Eb7   ||;4;Ben Webster;BenWebster_DidYouCallHerToday_FINAL.sv;(A1,8), (B1,8), (A2,8), (C1,8);Did You Call Her Today-1;ORIGINAL;;ts;Ab-maj;Giants of Jazz;"Harry Edison (tp); Ben Webster (ts); Hank Jones (p); George Duvivier (b); Clarence Johnston (dr)";57da0424-3108-404e-bff8-5ded4c6343af;Ben Webster;CD 53167 AAD;1962-06-06;1962;"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962";SWING;4/4;03:32-05:42;05:42;1;204.1714;FINAL;SWING;MEDIUM;Did You Call Her Today;;FUNCTIONAL
BenWebster_MyIdeal_FINAL.sv;74.2;"A1: ||Bbj7 G7 |C-7   |Ab7 G7 |C7   |C-7 F7 |Am7b5 D7 |G-7 C7 |Gb7 F7 ||
B1: ||Bbj7 G7 |C-7   |Ab7 G7 |C7   |C-7 Db-7 |Bbj7Ebj7G-7C7|Gb7 F7 |Bb6   ||";2;Chase-Withing-Robin;BenWebster_MyIdeal_FINAL.sv;(A1,8), (A2,8), (B1,8);My Ideal-1;GREAT AMERICAN SONGBOOK;;ts;Bb-maj;Giants of Jazz;"Ben Webster (ts); Art Tatum (p); Red Callender (b); Bill Douglas (dr)";f2231215-1f99-47d6-8c49-5554ae0fd6c0;Ben Webster;CD 53167 AAD;1956-09-11;1956;"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962";SWING;4/4;01:01-03:35;03:35;1;52.7136;FINAL;SWING;SLOW;My Ideal;;FUNCTIONAL
BenWebster_NightAndDay_FINAL.sv;182.2;"A1: ||Em7b5   |A7   |Dj7   |Dj7   |Em7b5   |A7   |Dj7   |Dj7   ||
B1: ||G#m7b5   |G-7   |F#-7   |Fo   |E-7   |A7   |Dj7   |Dj7   ||
A2: ||Em7b5   |A7   |Dj7   |Dj7   |Em7b5   |A7   |Dj7   |Dj7   ||
B2: ||G#m7b5   |G-7   |F#-7   |Fo   |E-7   |A7   |Dj7   |C7   ||
C1: ||Fj7   |Fj7   |Dj7   |Dj7   |Fj7   |Fj7   |Dj7   |Dj7   ||
B3: ||G#m7b5   |G-7   |F#-7   |Fo   |E-7   |A7   |D6   |E7 A7 ||";2;C. Porter;BenWebster_NightAndDay_FINAL.sv;(A1,8), (B1,8), (A2,8), (B2,8), (C1,8), (B3,8);Night and Day-1;GREAT AMERICAN SONGBOOK;;ts;D-maj;Giants of Jazz;"Ben Webster (ts); Art Tatum (p); Red Callender (b); Bill Douglas (dr)";8349d74a-ce4e-4ccb-ad73-33af2f21912f;Ben Webster;CD 53167 AAD;1956-09-11;1956;"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962";SWING;4/4;01:10-03:17;03:17;1;62.4476;FINAL;SWING;UP;Night and Day;;FUNCTIONAL
BenWebster_WhereOrWhen_FINAL.sv;82.1;"A1: ||Abj7   |Abj7   |Abo7   |Abj7   |Dbj7   |Dbj7   |Dbj7   |Bb-7 Ebsus79 |D7 F7 |Bb7 Eb7 ||
A2: ||Abj7   |Abj7   |Abo7   |Abj7   |Dbj7   |Dbj7   |Dbj7   |Bb-7 Ebsus79 |G-7   |C7   ||
B1: ||F-7   |Bb7   |G-7   |C7   |F-7   |Bb7   |Bb7 E7911# |Eb7   ||
A3: ||Abj7   |D-7 G7 |Db7911# C7 |F-7   |Bb-7   |C-7 F7 |Bb-7   |F7   |Bb-7   |Eb7   |Ab69   |Ab69   ||
I1: ||NC   ||";1;Rodgers, Hart;BenWebster_WhereOrWhen_FINAL.sv;(A1,10), (A2,10), (B1,8), (A3,12);Where or When-1;GREAT AMERICAN SONGBOOK;;ts;Ab-maj;Giants of Jazz;"Ben Webster (ts); Art Tatum (p); Red Callender (b); Bill Douglas (dr)";7eb298e8-12a6-4d2f-a506-4f697b1c1760;Ben Webster;CD 53167 AAD;1956-09-11;1956;"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962";SWING;4/4;02:22-04:20;04:20;1;135.0327;FINAL;SWING;MEDIUM SLOW;Where or When;;FUNCTIONAL
